json_file,gimbal_yaw,gimbal_yaw_360,flight_yaw,flight_yaw_360,error
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135715_0409_T.JPG.json,-88.3,271.7,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135716_0410_T.JPG.json,-88.4,271.6,-89.8,270.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135719_0412_T.JPG.json,-88.5,271.5,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135723_0415_T.JPG.json,91.6,91.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135724_0416_T.JPG.json,91.6,91.6,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135725_0417_T.JPG.json,-87.6,272.4,-90.9,269.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135726_0418_T.JPG.json,-141.1,218.9,-150.6,209.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135728_0419_T.JPG.json,121.2,121.2,118.7,118.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135729_0420_T.JPG.json,86.9,86.9,90.7,90.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135735_0425_T.JPG.json,85.7,85.7,90.2,90.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135736_0426_T.JPG.json,85.7,85.7,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135737_0427_T.JPG.json,85.7,85.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135739_0428_T.JPG.json,85.7,85.7,90.1,90.1,
